"Some top phrases containing 6 words (without punctuation marks)","Occurrences"
"de heer van haersma buma cda",6
"de heer van der staaij sgp",5
"de heer roemer sp het is",4
"het afschaffen van het eigen risico",4
"voorzitter tot slot op dit punt",3
"de voorzitter tot slot op dit",3
"mensen die in de zorg werken",3
"de heer roemer met mij van",2
"voor het afschaffen van het eigen",2
"de heer roemer sp ik denk",2
"de voorzitter dank u wel mijnheer",2
"waar je het geld vandaan haalt",2
"met de partij van de arbeid",2
"het eigen risico af te schaffen",2
"de voorzitter de heer roemer heeft",2
"heer van der staaij sgp het",2
"heer van haersma buma cda het",2
"aan de heer roemer namens de",2
"richten op de groep waar wij",2
"op de groep waar wij het",2
"dan moeten alle cijfers op tafel",2
"nederland kan een land worden waarin",2
"van der staaij sgp het is",2
"roemer met mij van mening dat",2
"de heer roemer sp ik ben",2
"heer roemer met mij van mening",2
"dat ik op u kan rekenen",2
"bij de overheid neer te leggen",2
"toch niet aan dat hij hier",2
"heer roemer sp dank u wel",2
