"Some top phrases containing 5 words (without punctuation marks)","Occurrences"
"de heer krol 50plus ik",3
"van het leger des heils",3
"dat is een werkelijkheid van",3
"je zult maar een oudere",3
"voor de rest van hun",3
"de heer wilders pvv ik",3
"zult maar een oudere zijn",3
"de rest van hun leven",3
"de heer wilders pvv dat",3
"heb het over de pensioenen",2
"de heer segers christenunie ik",2
"we er alles aan doen",2
"aan de slag te gaan",2
"mensen die aan de andere",2
"is een werkelijkheid van de",2
"loopt daar niet mee weg",2
"om te bekijken of we",2
"u loopt daar niet mee",2
"ik het nog niet eens",2
"die niet terug te vinden",2
"er zijn nog nooit zo",2
"ik heb het over de",2
"andere kant van de kloof",2
"om ervoor te zorgen dat",2
"terug te vinden zijn in",2
"aan het werk te houden",2
"kant van de kloof staan",2
"die wel vooruit willen die",2
"de andere kant van de",2
"maar een oudere zijn wiens",2
