"Some top phrases containing 7 words (without punctuation marks)","Occurrences"
"de voorzitter tot slot op dit punt",3
"bij de overheid neer te leggen en",2
"de voorzitter dank u wel mijnheer roemer",2
"de heer roemer sp het is uw",2
"richten op de groep waar wij het",2
"nu het woord aan de heer roemer",2
"woord aan de heer roemer namens de",2
"uit over de toekomst van ons land",2
"heer van der staaij sgp het is",2
"voorzitter de heer roemer heeft het woord",2
"heer roemer met mij van mening dat",2
"ik hoop dat ik op u kan",2
"de voorzitter de heer roemer heeft het",2
"de heer roemer namens de sp fractie",2
"het woord aan de heer roemer namens",2
"de heer van haersma buma cda het",2
"niet meer van deze tijd is en",2
"zien waar je het geld vandaan haalt",2
"de heer van der staaij sgp het",2
"is de heer roemer met mij van",2
"aan de heer roemer namens de sp",2
"zich uit over de toekomst van ons",2
"de heer roemer sp ik denk dat",2
"de heer roemer met mij van mening",2
"hoop dat ik op u kan rekenen",2
"met het wat harder aanpakken van de",2
"samen met de partij van de arbeid",2
"voor het afschaffen van het eigen risico",2
"toch niet aan dat hij hier met",2
"de heer roemer sp dank u wel",2
